Apatani,English
I don’t understand.,Ngo tachinma/taderma.
Please speak slowly.,Iche hasopa/ hasokwlyinpa luto
Can you repeat that?,No hwmi lutilakindo ha?
I am learning Apatani.,No tanw-agun hikidu.
This is my friend.,si ngwka ajin (ke).
We are playing football.,ngunu football tuka swlada.
The game is fun.,
What day is today?,Swlo nw alo pya/na?
Today is Monday.,Swlo Monday.
Tomorrow is a holiday.,Aarda suti alo.
The festival is tomorrow.,Aarda festival do.
I like to sing songs.,Ngwpa bwsi swpyodo.
The music is loud.,Music si gorodo.
Where is the hospital?,Hospital nona donw?
I am not feeling well.,Aau si hempyoma.
Call the doctor.,doctor mi gyoto.
I need medicine.,Ngo dwro dwkindo/ tankindo ke.
The shop is closed.,Dukan si mwpyantola do.
I want to travel.,Ngo inkanando.
Where is the bus stop?,Basw (bus) dumoko nona donw?
The bus is late.,Basw (bus) si late  do.
I have a ticket.,Ngwika aginho ticket do.
The train is fast.,Train si nyibya hardoke.
I love the mountains.,Ngo  putu mi kajido.
The river is clean.,Kwle si darwdo.
The forest is green.,More si jijido.
What is the weather like?,Mwdo-yasi lakhw-gubu nwtando?
It is very hot today.,Swlo ano gubudo.
I need an umbrella.,Sati bere lagido.
The flower is beautiful.,Apu is kapyodo.
I planted a tree.,Ngo sanw range alito.
The fruit is sweet.,Ayi si tiido.
I am cooking dinner.,Ngo apin mwdu.
The kitchen is clean.,Kitchen si darwdo.
Let’s eat together.,Apin dwbinsa.
I am full.,Ere potedo.
The table is wooden.,Table si sanje hoka mwni.
Where are my shoes?,ngwka luku si nona donw?
My bag is heavy.,Ngwka bag si ayihdo.
I lost my phone.,Ngo nwka phone me alyuswto.
Can you call me?,No ngwmi phone/ call mwla kendo ha?
The movie is good.,Film si ayado.
I like to watch TV.,Ngwpa TV ano kajido.
What is your favorite color?,No nw rong mi kabyojado?
My favorite color is red.,Ngo lancha mi kabyojadu.
I am going to sleep.,Ngo imi talyike.
The bed is comfortable.,Sika sangw si imi ipyodo.
Wake me up at six.,Arda soy bajiho ahulyape a.
I have a meeting today.,Swlo meeting do.
The office is far.,Office si ado do.
I work every day.,Ngo alo karmyan kam lyidu.
Ngo siisida ude ho adukuran.,I have just come home (at the instant).
Tacho ado ha?,Has Tacho come?
Ngo so kiiran adu.,I often come here.
Niida Itanagar apa hendo?,When do you plan on coming to Itanagar?
"Ngo luladoto nii, phone ane.",I was speaking when the phone rang.
Si bilo aba-apa ka nitin nii.,This is a parable of our forefathers' time.
Ngiinyi abasii.,We both came together.
Nunu hutii abasii?,Who among you came together?
Aber kone ahiibiido.,I am leaving/missing something.
"Aber koneda atiisiito, kapakuma.","I kept that somewhere, but couldn't find it."
Nunuka abi-tarii giiniin si kapyo kapama.,The clothes that you are wearing do not look good.
Siika emo si abindo.,This rice is of good quality.
No ngiika agin ho bus station ho abokindo ke.,You will come with me at the bus station.
Ngiikii ngiiyi abu da.,I have many fishes.
Hiimkane loda abu bimajalo ayanedii ke.,It is not necessary to give that much to them.
Abu kela la niimi henga-henkhadopa miibitamasii ke.,I will not trouble you by writing too long.
O abu haja tayo.,Do not take too much beer!
Apple sanii hii ahi abuje bagiito la biku doku.,That apple tree bears so many fruits that it has become slanted.
Nunu abuje po?,You all are here?
Punyang kokii tiiko narbiinii hii abuje barchabiidoku.,The money borrowed from Punyan has generated much interest.
"Siika sanii simi siikenendii ke, iche abu-agato.","This tree may die, so provide some nutriments to it!"
Gramm: emphatic adverb.,Has the function of intensifying the meaning of the verb.
"Yo acho dotoku la, niibo mi diichiku henderlakuma.","There were many kinds of meat, I didn't know which one to eat."
"Syn: acho-acho Balu so, yalan acho- acho do.",This garden is full of stones.
Ngo si adabiido.,I have entered the right place.
Ngiika adin achi mi diiro diitinsiitii.,I ate some medicine to stop my headache.
Siinyan ngiika aji daka emo si ensu adin do.,"This year, my paddy crop is of dud rice only."
"B: Ma, hiimkane adoma ke.",Is it far from here?
Obing mi ka kapakumanii ano adoduku.,I haven't see Obing for ages.
Dukan hii lemba hokii 1 km ado ho do.,The shop is located one kilometer away from the village.
Ngo adomapa diichiku.,I will go shortly.
Hogyo-holyopa la aduyo.,Don't talk in a confused way!
No pongepa adukiilyiyo.,You don't talk differently again!
Hiinkane aduyo.,Don't speak that much!
Ngiika liipyo ho tiire adubiine.,A thorn pricked my sole (as I stepped on it).
Konchi mi payu agebiido.,A dragonfly got sticked by glue.
Hiinkane agin-aye miiyo.,Don't make so much fuss!
Ude ago ho habundo.,It is cool outside the house.
Mo ago ho linne.,He went outside.
Ngo momi agoyato.,I came before him/her.
"Tamo, let Pussang come first.",Don't come before him!
Ngiinyi ago-alo akasiisa.,Let us see who comes earlier [between you and me].
Ngunuka lembo agya si ano kachodo.,The entrance of our road is very dirty.
Car hii market agya si domoto la do.,The car is parked just in front of the entrance of the market.
Ngunu Tanii miilanru aha puye pa giila.,We all Taniis shall have a same thought.
"Siika buko simi, ngatiihajaku la diitiilakuma ka aha oh.",I think/feel that) this large wild rat is too tasty/oily to be finished.
Opi ka nyimo si aba mi ano giido ka aha.,I think/feel that) Opi's face resembles that of her father.
Ngo armyan mi aha- ahiibiido.,I forgot his name.
Ngunuka agun mi aha-ahiibiinyado.,We are forgetting our language.
Road accident daka siima mi kapate la aha lyilyi biiso hempa.,I was horrifed when I saw the corpse on the spot of the road accident.
Si more ho ahi du.,"We call this fruit 'bachi', it grows in the wild."
Molu ainsiitii.,They were similar.
Ngo Unka ka ude mi ahiibiidoku.,I have gone beyond Unka's house.
Ude ho aber kone ahiibiido.,I forgot/left something in the house.
Ngo diigo diissaniin mi ahiitoku.,I have forgotten to eat the meal/I have forgotten the food.
Molu ine adoku.,They have returned from fields.
Danyi ne akodoku?,How low is the sun in the sky?
Gramm: distributive pronoun of person.,"When used in a negative sentences, gives the sense 'no-one', 'neither'."
Ii'nga anii ka akunii mi kalyaladu.,The kid is waiting for her mother's return.
Niika ala mi laniinbo hu pe?,Who was that man who shook your hand?
Pigs have very powerful snouts.,They can turn over the ground like bulldozers.
Ngunuka ali atan si noho pe innyalyi nii?,Where have our descendants gone?
No nii ali-aho asodu?,What crops do you grow?
Siima mi alibiidoku ka ah.,The corpse has been buried (lit.
Aliitotiika luhankele.,I told you to put it in!
Ngo Ziro ho alo lohinhe dute/date.,I spent three days in Ziro.
Alo lodo.,The day is dawning.
Nii alu-aledo?,What are you busy at?
Iinga alungiine.,The baby was shocked.
Aki si ngiika ala mi alyado.,The dog is licking my hand.
Mo alye-ache da.,He stands shaking.
Sarpu daka alyi supa hankele sarpu si sapidoku.,The balloon got flattened as air was removed from it.
Mo alyin-atusiido pe ha?,Is he active?
Ngo ngiika kheta mi alyusiito.,I lost my book.
"Siika hime simi amanehe mi bikasiitii, ngo myalakuma.","I have given everythig to this child, but couldn't console him."
Aki amesiido.,The dogs are mating.
No aji miiko ho ami todo ka.,You are lagging behind in the cultivation of field.
Haman amindoku.,The vegetables are cooked.
Nanya niinyi ajin sii nyan an?,Are you and Nanya friends?
Mo anyi iche heter giisuma ke an?,"They don't resemble at all, do they?"
Taku ani lindoku.,A small bud of cucumber has appeared.
Mo anyi anii-oho sii pe ha?,Are they mother and son?
Ngiimi sari anobiine.,I got stung by a *sari tree.
Gramm: when referring to a particular object.,"When enumerating only, as in school, *anyi is used in place of *anye."
Ngo siika anyi agin ho inbolakinma.,I can't go along with them.
Ilyo apidu ha?,Do you rub your machete?
Papu mi apibiidu ha?,Did you break an egg?
Nunupa ngo apin miibiidu.,I have prepared a meal for you.
Aro apin diitiiku ha?,Did you have your breakfast?
Mo apo?,Did he/she come?
Yo mi yanii ho apubiitoku.,I wrapped up some meat into a leaf.
Hiimkane taroje miyu apun ho ngo ananma.,I don't want to go into such a large crowd.
Kulu apyun pyunnge da.,There is one [hanging] bunch of bananas.
Arda-rida ngo Thailand inchi.,I will visit Thailand in future.
Ari-apii daka miyu atan.,The people in the neighbourhood.
Barmi ari mi uru ho pebine.,The bride price was distributed among the lineage members.
Alye simi arkototiika aha.,I think you should bolt this door.
Anga arkhubiido.,The baby has regurgitated.
Niika armyan niihii la pe/Niika armyan nii la?,What is your name?
Ato Piilo mi tatii arniibiido ke!,The (Solar) frog is eating the Moon!
Aro horjin la ngiika ali tuhii-tukhelama.,I strained a ligament so I cannot move my leg.
"Biilyo luko-lumyomapa, siisi arta ho niimi no hokii tiiko labitalyi?",I give you money right now?
Isn't there any restaurant around?,There is one at that corner.
Hiika atan inka arun so domodu.,You can take a bus or a tempo.
Asii rigo hii doran.,There is still a line to be drawn.
Siika emo si asudo.,This rice is failed/of poor quality.
Ngo siika atan lo aji ronnge miibokokindo.,I shall require help from that group once in my field.
Mo ngiika atebo ako ka oho.,He is the son of one of my paternal uncles.
No nona ngiika diiri mi atiito nii?,Where did you put/keep my belongings?
"Aber kone da atiisiito, kapakuma.","I kept that somewhere, but couldn't find it."
No ato duko ho duto.,You sit in your own place!
Ato miisuto.,Do it yourself!
Aki si moka atu mi lyahi-lyasobiida.,The dog is licking its puppy.
Ngo hime atu kone kapato.,I saw a small child.
Hubur mi atubiilyato ah.,You should close/obstruct the field outlet.
No so atupa po adu nii?,Are you coming here for the first time?
"Si iche diito, au pa ayado.","Have a taste of this, it's good for your body!"
No ayasiido ha?,How are you (doing)?
Mo miyu pa hemper yapa ayapa da.,He is a very handsome young man.
Ngunu Tanii pa lusudo koda ayayakindo ke ah.,That will be better if we speak in Apatani.
Ayu hoka Tanii aba-apa atan hii.,The Apatani ancestors of olden days.
"No ayumada Itanagar tone pe la hento nii, hiira tochinkiilyi po?","You have been to Itanagar recently, are you going again?"
"Kere talo si yalo bidonii, ayumapa tachenedo.","There is a slight crack running along the mirror, it may soon break."
Mo anyipa nii mi babilyiku?,What have you brought for them?
Molu yasan mi babindo.,They are carrying firewood together.
"Myrica nagi), a sub-temperate evergreen tree yielding tasty, reddish fruits.",The plant is also used as a remedy for indigestion .
Tara niinyipa hangii bagiiku ha?,Did Tara bring something for you two?
Apple sanii hii ahi abuje bagiito la bikudoku.,That apple tree bears so many fruits that it has become slanted.
Nehe baji do?,What time is it?
"Kiije, arun-are ako da, dumosa.",The seminar starts at 10 o'clock.
Ngo Opi mi bakadu.,I am carrying Opi on my back.
Siika kiidi si bakado.,This part of ground is depressed.
Inka abya si nohopa yu baliigiido nii?,Where is that ladder brought from?
Hiika ho ngo ngiika cell phone mi bapasiito.,I lost my cell phone there (over there by your side).
Alyi mi barbiidoku.,They have carried the pig.
Siika mirror si yalo bardoku.,This mirror has got cracks.
Ane ka yagii mi ngo baragiilyi.,I am going to carry my mother's *yagii (i.
Balu si barbudo.,This homegarden is fertile.
Gramm: used for referring to a particular object.,"When enumerating, as in school, *barkun is used in place of *bare."
Siika taru si tiitihankele barene.,The rope broke as someone pulled it tightly.
Ngo bariduku ke ah!,I have got up!
"Gramm: when enumerating only, i.","When referring to one object in particular, *bare is used instead."
Barmii ari mi uru ho pebine.,The bride price was distributed among the lineage members.
Anyan ho piilo barne dodu?,How many months are there in a year?
Kiidi barro.,A big plot of land.
Ngunu yasan batetalyi.,We are going to fetch some wood.
Inka miyu si bayo-bayopa la putu so chaladiima.,That person is fat/slow moving and therefore may not be able to climb the hill.
Paro bedo.,The chicken is scratching at the ground.
Ngo tari ka agin uyi bebokendo.,I will assist the priest in chanting.
Danyi behudo.,The sun is shining/giving light.
Danyi bendo.,The sun is shining.
Siibi berdo.,The monkey is jumping.
Molu sulu mi berbiidu.,They jumped over the fence.
Siika table si mi byarbo-byarkato.,I jumped over the table.
Hiika yo alyo mi danyi besinkiinento.,Let that skin meat dry under sunlight.
Molu ngiimi tiiko bihii.,They gave me money.
Ngo lunch pa tiiko biboto.,I paid my share of the lunch bill.
Ngo anyo mi mitai bigote.,I missed to give a sweet to Anyo (while distributing to others).
Obing mi application form mi bigote.,I missed to give an application form to Obing (while distributing to others).
Ngo Yabo mi mitai bigote.,I gave a sweet first to Yabo.
Apatanis brought the seeds with them during their migration.,"This way, it never flowers."
Sanii biko-biko ohodoye.,The tree was very tall and swaying to the wind.
Niimi Tara English kheta mi bikur daku ha?,Did Tara give you back your English book?
Kago mi ka bisiinii mi Apa mi bikha-bito la.,I mistakenly gave to Apa what was to be given to Kago.
Molu yakhan binkindo.,They will offer one *yakhan of rice.
Ngo siika kheta simi Tago mi bipasiitoku.,I have given that book to Tago.
Nunu biiju-miiju mi ano ayapa biikindo.,You must behave in a mannerly way.
Mo niido insu-intopa inribiine?,When did he/she start walking?
Ngo Ommo ko chabii la Taki la ude loye chachi.,"I will go [up] to Ommo's place, then I will proceed upto Taki's house."
Hapoli so miyu giije-giije dado daye.,There was a huge number of people in Hapoli.
Siika putu si hemper biiledo.,This mountain is very slippery.
Ahi biilii.,A loose tooth.
"Mo aku Tama nyan, ngunu ude biilyo ho dudu.","He is uncle Tama, our neighbour (lit."
Ngo biisidu.,I sing/I am singing.
Mo biisitalyi.,She will sing.
Yalo mi uyi bobiidu.,The spirit carries the soul.
Ngo Tamo agin ho Delhi bobotalyi.,I will go to Delhi with Tamo.
Daniibo.,The one who is standing.
Siilo ngiiyi laniibo Tama.,The one who caught fish today was Tama.
Ngo Apa ka bosiiniipa bobilyi.,I shall go on Apa's behalf.
Obing agin ho Thailand bobotalyi.,I will go to Thailand with Obing.
Mo ngiika subu mi bolibiine.,He took my mithun to avenge himself.
Hiika kheta hii bolyodo.,That book is thin.
O si iche bolyokiilindo.,This beer is not very strong.
Billygoat Weed (Ageratum conyzoides).,"The juice is used in cuts or injuries, as it is said to have healing properties."
Ngo New York ho botu-bolyi.,I will go to New York for the first time.
Ngo gari bunando.,I want to own a car.
Yamu ho buji-buji adudo.,There are crackling sounds in the fire.
Molu more simi bukunsiido.,They jointly own this forest.
Siiro ka apin si iche bulun-biile- kiilindo ke.,This morning's food was a little sickly.
Terrorist atan hii railroad track mi bomb lo bupatii.,The terrorists destroyed railroad tracks with a bomb.
Iinga anye bupyun hepa butii.,The two babies were born as twins.
Ngiika aha si hadiihaja la bute-buyepa miidoku.,I got so much angry that my heart was about to burst out [of my chest].
"Ngo, mi kokii help lasaniin mi ano byado.",I very much hesitate to seek help from others.
Ngo Yampi pa yo byato la doye.,I roasted some meat for Yampi.
Siika tarii si khuku la byadoku.,This shirt is old and worn out.
Ngo Tamo pa yo byakhanpato la doye.,I roasted some meat specially for Tamo.
Lembo byanyo.,A narrow road.
Gramm: used for specifying a particular object.,"When enumerating, as in school, *byarkun is used instead."
Lembo byaro.,A wide road.
Danyi hutopa byodo.,The sun shines brightly.
Danyi byohudo.,The sun shines.
Piilo huto hii lenda mi byohudo.,The moon light is brightening the road.
Fire fighters hii yamu byololado.,The fire fighters are busy putting off the fire.
Ngo lemba chachi.,I will go up to the village.
Iin mo chasu.,Did he/she come up?
"No biilyo chatii koda ayatiido, siilo ngo Itanagar tochi.","It would have been better if you came yesterday, today I am going to Itanagar."
Byapu hanye pahe chadoku.,The bamboo shoot has grown to about two fingers widths high.
Kolo ka tanyi liiniin si chadoku.,The maize which was planted the day before yesterday has sprouted.
Ngo abya lo malo ho chachi.,I will step onto the roof by using a ladder.
No labi dalyi ho chaboto.,Please move towards the right.
Ali mi yamu chabyasiite.,I got my leg burnt from stepping on the fire.
Myopii mi uropa chadin'yo.,Don't tread heavily on the floor.
No bubble gum mi chagegiido.,You got a bubble gum stuck under your foot.
Ngo Yampi ka ude ho chagobiiduku.,I missed Yampi's house (i.
Si school chagya ke.,This is the entrance of the school (i.
Inka ii'nga ka kheniin si change-changeja.,That baby's cry is most piercing 3.
"Gramm: by enumerating only, i.",When referring to a particular object *channge is used in place of *channge.
"Tara, niika Daporijo chalyi ho Ziro ho chapebiilya.",You should make a stop at Ziro on your way to Daporijo.
Sa charladu ha?,Are you good at making tea?
"Iin, mo chasu.",Did he/she come up?
No pulye mi chatabiido.,You stepped on the cloth.
Ngo ipa chatagiido.,I stepped in some animal excrements.
Ziro chatupa chadu.,I live in Itanagar.
Court ho lawyer atan chesudo.,The lawyers are arguing [cases] in court.
Cheda koda goal sanii.,It was almost a goal.
Inka mihi milo nyi aya chegasiido ke.,This couple is very quarrelsome.
Mihi si milomi chetersiido.,The wife is defending herself against her husband.
Yasi ho ngiiyi chido.,The fish is swimming in water.
Airplane si ano nyibyapa chilado.,The airplane is moving very fast through the air.
"Diipyo hargiilyi ke, chituto.","The thief is running away, catch him!"
Ngo Bank Tinali linchi.,I will go to Bank Tinali.
Ii'nga si ano ahi lo chigadu ka.,The baby bites a lot.
Ngiika ala mi aki chigebiido ke.,A dog has bitten my hand.
Ngiika ala mi aki chiikhabiine.,The dog failed to bite my hand.
Ngo Delhi hokii ude achiku.,I will go home from Delhi.
Hogya si siidin dore chilobiine.,The leopard has hunted down a deer.
Aki toy mi chiminlado.,The dog plays biting a toy.
Aki si pulye mi chimii-chijabiine.,The dog has torn the cloth in pieces.
No niitampa chindu?,How do you know [it]?
"Chindu ha, inka balu si nunukii?",Do you know that garden is yours?
No ngiimi ka chindu ha?,Do you know/recognize me?
Mo pulye mi chinjatiiku.,She has finished to weave the shawl.
"No, VKV ho masii ha, purido nii ?",Do you study in VKV school?
Ngo Taser cho.,I am Taser (i.
Ngo niimi luto ha cho?,Did I tell you?
Ngo Tanii abu luchinmasu hojalo lukasiidu cho ah.,"I myself don't know much Apatani but I try to speak, ok?"
Yamu miiri cholin la chobyabiine.,I got burnt from the embers that popped out of the fire.
No indahe.,You go!
"Apin miiyo, piijoda ngunu restaurant ho diitesa.","Don't cook meal, later on we shall eat out at a restaurant."
Ngo niika agin ho dabomonchi.,I will go across with you.
No diidadiima.,I swear you eat.
Sarii ngiimi hiinyan mohi dadopa gada.,The Teacher scolded me in such a way that I felt ashamed.
Aro konchi dado jimi-jamadorampa ngo aji inchi.,I shall go to paddy fields at early morning (i.
Lenba daka yapa atan hii.,The village youngsters.
"Aki, paku daka apin mi diikhapabiine.",The dog has completely finished off the rice on the plate.
Iche dalyato.,Please wait a moment!
Inka sanii si dangilado.,That tree is falling.
"Lemba hokii, danye dalin la school doda do.",The school is located within walking distance from the village.
Danyi chado/chalya.,The sun rises.
Niika mobile mi tiiko bimapa danyopa ha labiinii?,Did your mobile phone come free of charge?
Biidan dara.,A steep cliff.
Dariipa kelyato!,Please write clearly!
Ngunuka Ziro ganda mi supun ho dariijapa busa.,Let us keep our Ziro in a cleaner condition.
Ngunu Tanii miyu atan si ato ganda mi darii-pyabyadopa bulado koda ano ayakindo.,It will be a good thing if we Apatanis keep our own land clean.
Inka sanii si daryilado.,That tree is falling.
No hime dema!,You are a bad boy/girl!
Ngo taderlama.,I can't understand/I can't hear properly.
Ngo kaderlama.,I can't see properly.
Sii dichan bedo.,The cow is scratching at the ground.
Ngo diipyo ako mi diiba- diikasiinando.,I want to eat some nice food [along with others].
Ngo apin diigamato.,I was not a voracious eater/I did not eat voraciously.
No alyi mi diigo hoto ha?,Did you give food to the pigs?
Ngo diigo diimarampa achi.,I will come before the meal.
"Diipyo-tansonan ela, hangii diigo-tango nyima sii ha?","I feel like eating something, have you got something to eat?"
Aki paku mi diikhabiine.,The dog has eaten up all the rice on the plate (until the very last bite).
Aki mi takhe si diikhiitabiido.,The tick is about to kill the dog by sucking its blood.
Kolo ka hulyi diiniin hii ngiimi diikhiibiineku.,The lard I ate the day before yesterday suppressed my desire to eat pork anymore.
Ngo diikhu mi diitema.,I won't eat the leftovers.
Diipyodo ka ah.,"It tastes good, doesn't it?"
Diipyo kapa ela!,It looks appetizing!
Ngo diipyo ako mi diiba-diikasiinan do.,I want to eat some nice food [along with others].
"Diipiyo-tansonan ela, hangii diigo-tango nyima sii ha?",I feel like eating something- have you got something to eat?
Ngo diigo diisiiniin mi ahiitoku.,I have forgotten to eat the meal/I have forgotten the food.
Intosi putu puro puye do.,There is/lies one big mountain.
San ude ho do.,A table lies in the house/there is a table in the house.
Siika marble si dogin gii ha byo ha.,I can't sleep with this marble (in my pocket)!
Aki nyimi alyi nyimi dogyosiikiinento.,Let the dog lie with the pig.
"Kheta atan si dogyo-dolyi dotokula, History kheta mi mepakuma.",I could not find the History book as books are randomly mixed up.
Yapun ho dolya byone.,There were flashes of lightning in the sky.
Pagi hii dolyulama.,A debt cannot be forgotten.
Gari domone.,The vehicle stopped.
Bazar ho haman done.,There were vegetables in the market.
Sarii ngiimi hiinyan mohidadopa gada.,The teacher scolded me in such a way that I felt ashamed.
Abu kela la niimi henga-henkhadopa miibitama sii ke.,I will not trouble you by writing too long.
Aba ka hadii mi Ane yanudopa lulobiineku.,The mother calmed down the father's anger.
Ngo momi imidopa kapato.,I saw him/her sleeping.
"Gramm: by enumeration only, i.","When referring to one object in particular, *dore is used in place of *dorkun."
Apin nyimapa yo adin doye.,"There was no rice, only meat was available."
Aki hii intosi du.,The dog is sitting there.
Hiila miitotiika du.,Do it like this.
Nunu pa ngo apin miibiidu.,I have prepared a meal for you.
Ngunu Ziro hokii todu.,We came (just now) from Ziro.
Tara-lu ka ude ho ano yo khiigadu.,There is always some meat being cooked in Tara's home.
No rengiidudo.,You must be (feeling) tired.
"Tarun ka ude si uyi miilado nii, ngoya ako hachedudo.","A ritual is being performed at Tarun's house, I guess there is some trouble there."
Dukun ho ngo Tallo pa dubite.,I sat in the meeting for Tallo.
"Ngo, moluka agin ho dubotalyi.",I will stay/sit with them.
Ii'nga si duchindoku.,This baby has learnt how to sit.
Tanii people live in Ziro.,Does he live here in this colony?
Molu nunuka colony ho dududo hiila (ngo) henhankiile.,I thought they live in your colony.
Noho moluka duko do?,Where is their sitting place?
Molupa duko mebitii ha?,Have you arranged accomodation for them?
Ngiika dukhu-palyo mi joliimon pe kan.,You got to help me carry my luggage and all.
Iche dulyato.,Please wait a moment !
Mo dumolyi ho biisi ayu yutii.,He used to sing traditional songs when relaxing/resting.
No inka car hoka duniibo miyu mi kaladu ha?,Do you know that man who is sitting in the car?
Police diipyonii mi latudupa la tulyaladu.,The police is waiting to catch the thief.
Toro kiidi durdo.,The Stag Beetle is digging the soil.
Nunuko mi duye ha?,Was there anyone at your place?
"Diipyo-tansonan ela, diigo-tango nyima sii ha?",I (really) feel like eating something.
Endi atan hii empii giidu.,The paddy plants carry husks.
Ane-akha atan kotuto la endi liila danya daye.,The old women were planting rice saplings in a bent forward stooping posture.
Ngo Unka ka ala mi gabiito.,I grabbed Unka's hand.
Momi teacher gabiine.,The teacher scolded him/her.
Ngo diigamato.,I was not a voracious eater (i.
Police si public kokii kamo laga-lale lalado.,The police takes excessive bribes from the public.
Gramm: used when referring to a particular object.,"When enumerating, as in school, *garkun is used in place of *gare."
Gehepa ka lukanniin.,A boring speech.
Ngo ngiika hadii mi momi gennannanto.,I vented my anger on him/her (though the mistake was not his/her).
Siika Myoko so ngo pore o tangiito la henko-henko giipa-giiya gikanando.,I feel like drinking lots of black beer and fall and lie here and there.
Niika au heru mi medical ingiimapa abuyapa gilu-gilesiidii ke.,You may harm yourself more by not going to hospital for your sickness.
Gitu-nanii pa pillow mi saliito pe.,Please put a pillow to block the place where I'm lying.
"Lonyi-lohin kapyopa, ngo niimi kapato, no uniform giito la dane.","I saw you some days back, you were on uniform."
Siika yo si alo giido ke.,This meat has bones.
Sir student mi ingii.,The teacher took the student along with him.
Tabin ka nyimo daka giikor si momi kahogiido.,The scar left a mark on Tabin's face.
Siika suit simi ngo giijepatoku ke.,I have repeatedly worn that suit.
Siika tasan si giikhiitiiku ke.,This bead is worn out (i.
Ngunu yasan giitetalyi.,We are going to fetch some wood.
Roti si godo.,The pan is swelling.
Aeoplane gohadoku.,The plane has landed.
Piita gohadoku.,The bird has come back to its place.
Nunu gokun-gopasii'nge.,You go and fly together!
"Siilo ngo bije gomurte ke, ngiika ali mi bije pipobiine.",I was putting up a fence.
Yasi gubu lo ali mi tobyasiitii.,I got burnt on my leg from spilling hot water on it.
"Apatani community, although casualties could not always be avoided.",The last *gyambo took place in 1972 in Tajang.
Ngiinyimi principal gyone.,The principal called both of us.
Byapu hanyepahe chadoku.,The bamboo shoot has grown to about two fingers widths high.
Siilo diyobar ha enna?,You were leaving on Sunday.
No seminar pa ha adu nii?,Do you come to attend the seminar?
Ngo sukun hokii yasi hadu.,I fetched water from the well.
Ngiimi aki hakhabiine.,I was slightly bitten by a dog (i.
Nunu lembo si jebi adin doto la ano aha-akhado.,The road to your place was muddy and it was not easy to come.
No akan habya!,You are so late!
Inka nyimii si luruhajedo.,That girl is too stubborn.
Yamu arun haja ho duto la ali mi yabya-yalyabiine.,"I was sitting too near to the fire, so I got my leg burnt."
